recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3
Albania,2008,239.73,18.6,6.6,113.76,1637.1,ALB
Belarus,2008,69.91,0,4,32.15,1637.1,BLR
Bosnia and Herzegovina,2008,293.35,15.43,13.25,109.13,1637.1,BIH
Croatia,2008,49.2,0,0.37,29.28,1637.1,HRV
North Macedonia,2008,137.03,-0,7.24,83.54,1637.1,MKD
Moldova,2008,115.48,24.05,13.23,71.08,1637.1,MDA
Montenegro,2008,61.23,14.39,3.66,39.98,1637.1,MNE
Serbia,2008,519.56,39.56,21.71,255.15,1637.1,SRB
Turkey,2008,572,-0,4.67,450.52,1637.1,TUR
Ukraine,2008,296.16,0,21.35,231.94,1637.1,UKR
Algeria,2008,208.98,0,-0,140,1637.1,DZA
Egypt,2008,973.88,-0,424.97,847.02,1637.1,EGY
Libya,2008,48.5,0,1.26,46.73,1637.1,LBY
Morocco,2008,529.63,-0,356.37,331.27,1637.1,MAR
Tunisia,2008,213.6,-0,-0,187.38,1637.1,TUN
Angola,2008,206.62,20.95,-0,113.7,1637.1,AGO
Benin,2008,277.67,87.18,3.87,168.88,1637.1,BEN
Botswana,2008,668.78,-0,-0,660.88,1637.1,BWA
Burkina Faso,2008,421.26,166.96,6.73,229.66,1637.1,BFA
Burundi,2008,229.92,61.18,0.07,110.94,1637.1,BDI
Cabo Verde,2008,147.23,17.02,0.4,45.19,1637.1,CPV
Cameroon,2008,264.06,27.39,9.11,243.03,1637.1,CMR
Central African Republic,2008,123.32,13.74,0.25,87.36,1637.1,CAF
Chad,2008,266.19,-0,2.74,184.25,1637.1,TCD
Comoros,2008,17.35,0.06,5.03,16.23,1637.1,COM
Congo,2008,320.48,17.65,0.15,316.65,1637.1,COG
C�te d'Ivoire,2008,199.24,181.36,2.51,172.92,1637.1,CIV
Democratic Republic of the Congo,2008,907.42,271.44,4.01,538.96,1637.1,COD
Djibouti,2008,58.46,7.54,20.01,56.58,1637.1,DJI
Equatorial Guinea,2008,15.07,-0,0.02,3.98,1637.1,GNQ
Eritrea,2008,46.24,27.63,7.94,28.21,1637.1,ERI
Ethiopia,2008,1816.7,509.8,32.61,1481.48,1637.1,ETH
Gabon,2008,31.52,0,0.62,31.48,1637.1,GAB
Gambia,2008,27.17,7.62,4.17,20.93,1637.1,GMB
Ghana,2008,650.84,254.69,5.02,435.54,1637.1,GHA
Guinea,2008,194.24,31.12,0.3,178.01,1637.1,GIN
Guinea-Bissau,2008,45.54,15.71,0.05,13.72,1637.1,GNB
Kenya,2008,948.28,106.39,3.23,720.77,1637.1,KEN
Lesotho,2008,59.87,18.78,-0,39.88,1637.1,LSO
Liberia,2008,816.32,4.29,0.82,663.83,1637.1,LBR
Madagascar,2008,259.02,201.3,3.43,213.68,1637.1,MDG
Malawi,2008,395.77,48.96,3.73,292.37,1637.1,MWI
Mali,2008,481.1,105.61,-0,288.48,1637.1,MLI
Mauritania,2008,125.97,41.58,23.78,93.21,1637.1,MRT
Mauritius,2008,13.74,-0,-0,15.18,1637.1,MUS
