year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
2008,ALB,5,9,11127823666,2947314,13.06,0,0
2008,BLR,1.5,-7,52976989869,9527985,6.42,5.463254628,0
2008,BIH,4.5,8,17556851231,3754261,23.41,0,0
2008,HRV,6,9,65515772483,4309705,8.53,1.000000003,0
2008,MKD,5,9,9139223354,2067309,33.76,0,0
2008,MDA,4,8,6928263863,2867964,3.98,2.999999998,0
2008,MNE,5,8,4280841227,616969,17.15,0,0
2008,SRB,5,8,42681933020,7350222,13.71,0.999999994,0
2008,TUR,5,7,752918000000,70418612,9.71,0,1
2008,UKR,5.5,7,153670000000,46258189,6.36,37.99999998,0
2008,DZA,2.5,2,153155000000,34730604,11.33,92.99999978,1
2008,EGY,2.5,-3,198965000000,79636081,8.52,97.99999968,0
2008,LBY,1,-7,71765417108,6058740,18.51,0,0
2008,MAR,3.5,-6,86135221236,31536807,9.57,38.99999997,0
2008,TUN,2,-4,41299756347,10414425,12.44,0,0
2008,AGO,2.5,-2,79581318823,21695636,3.63,7,0
2008,BEN,6,7,9126270155,8696915,0.85,15.00000007,0
2008,BWA,6,8,12754003612,1915636,16.35,0,0
2008,BFA,4,0,9054059809,14689725,3.62,6,0
2008,BDI,3.5,6,1862084400,8126104,1.63,9.000000043,1
2008,CPV,7,10,1661358044,480846,10.31,0,0
2008,CMR,2,-4,24758949260,19252674,3.31,9.00000001,0
2008,CAF,3,-1,1885822821,4273368,4.12,0,0
2008,TCD,1.5,-2,9014843655,11183589,1.32,0,1
2008,COM,4.5,9,847614597.4,657227,5.59,0,0
2008,COG,2.5,-4,10703326376,4011487,16.52,0,0
2008,CIV,2.5,0,23647271500,19605568,5.88,5.999999997,0
2008,COD,2,5,19575662525,60411195,3.29,35.99999997,1
2008,DJI,3,2,2345288465,816361,11.1,0,0
2008,GNQ,1,-5,17675587976,860839,8.06,0,0
2008,ERI,1.5,-7,1497342774,3062782,6.44,0,0
2008,ETH,3,1,24444156129,82916236,2.24,45.00000088,1
2008,GAB,3,-4,13403585248,1518538,18.44,0,0
2008,GMB,3.5,-5,1366133637,1689288,9.05,0,0
2008,GHA,6.5,8,28461199739,23563832,4.79,0,0
2008,GIN,2,-1,6612974822,9738796,4.21,0,0
2008,GNB,4,6,785939943.8,1446936,2.86,0,0
2008,KEN,4.5,7,35717358968,39791984,2.66,65.00000266,0
2008,LSO,5.5,8,2149925019,1987130,27.76,0,0
2008,LBR,4.5,6,1788340491,3607863,2.11,0,0
2008,MDG,4.5,7,10332370458,19996476,3.34,104.9999997,0
2008,MWI,4,6,6011380928,13727899,5.65,0,0
2008,MLI,5.5,7,9684351571,14113578,10.23,0,1
2008,MRT,2.5,-5,5479795126,3296237,9.51,0,0
2008,MUS,6.5,10,9276625562,1244121,7.17,0,0
2008,MYT,4,4,27819050421,9527985,6.4,5.445280189,0
2008,MOZ,5,6,9807041557,22276596,2.95,31.50000013,0
2008,NAM,6,6,10748473716,2043382,21.48,42.00000023,0
2008,NER,4.5,6,7091729840,15250913,1.22,7.000000009,1
2008,NGA,3.5,4,309769000000,150269622,3.59,0,0
2008,RWA,2.5,-3,5367563908,9524532,0.88,35.99999993,0
2008,SHN,5.5,6,18067581907,7631003,3.6,37.99999998,0
2008,STP,6,7,179985584.3,171122,15.26,0,0
2008,SEN,5,8,15174956642,12004700,9.85,1,0
2008,SYC,5,9,925654158.7,86956,7.16,0,0
2008,SLE,5,7,2371580994,6133599,3.67,0,0
2008,SOM,1,0,80264693647,11397188,12.94,0,1
2008,ZAF,6,9,369967000000,49779472,22.41,16.99999264,0
2008,SSD,5.5,8,13177336585,8736932,12.15,17.00000005,0
2008,SDN,1,-4,61441457716,33060844,14.8,0,1
2008,SWZ,2,-9,4210638653,1049948,27.45,0,0
2008,TZA,4.5,-1,28599598807,41853944,2.61,72.99999941,0
2008,TGO,3,-4,3062704427,6083417,3.08,5.999999994,0
2008,UGA,3.5,-1,23540420945,30431734,2.92,48.9999995,1
2008,ZMB,5,7,16822344541,12848531,7.93,9.000000029,0
2008,ZWE,1.5,-4,8982303319,12379553,4.67,12,0
2008,AIA,4,7,194130000000,73762519,13.93,0,0
2008,ATG,6,6,1415794528,85394,10.62,0,0
2008,BRB,7,10,4884000000,279946,8.12,0,0
2008,BLZ,6.5,10,1334118125,306822,8.18,8.000000283,0
2008,CRI,7,10,36057631674,4463123,4.78,7.999999938,0
2008,CUB,1.5,-7,61927474920,11236975,1.58,10.00000029,0
2008,DMA,7,9,496331523.2,70829,7.17,0,0
2008,DOM,6,8,49248221332,9458079,4.76,2.000000024,0
2008,SLV,5.5,7,18452523787,6131767,5.88,35.99999999,0
2008,GRD,6.5,10,829856141.3,105457,8.96,0,0
2008,GTM,4.5,8,39348488187,13739299,3.08,62.00000106,0
2008,HTI,3.5,5,11403034357,9646570,16.06,697.9995734,0
2008,HND,5,7,15650167710,7980955,3.16,66.99999962,0
2008,JAM,5.5,9,14025498715,2781869,10.33,12.99999997,0
2008,MEX,5.5,8,1062460000000,110815272,3.87,48.03188916,0
2008,MSR,6.5,10,27133804225,2750956,12.15,17.00000005,0
2008,NIC,4.5,9,8674353607,5667436,6.2,30.0000001,0
2008,PAN,6.5,9,27477507118,3516204,3.48,32.99999923,0
2008,KNA,7,9,797096217.1,48178,8.52,0.999999992,0
2008,LCA,7,8,1505888983,170011,12.72,0,0
2008,VCT,6.5,10,719975884,108401,18.79,0,0
2008,TTO,6,10,22430354184,1314449,4.22,2.000000734,0
2008,ARG,6,8,408877000000,40080159,7.84,11,0
2008,BOL,5,8,18257962435,9721457,2.6,37.49999966,0
2008,BRA,6,8,2056810000000,192030362,7.34,352.0000245,0
2008,CHL,7,10,209752000000,16708255,9.29,10,0
2008,COL,4.5,7,271147000000,44254972,11.27,147,1
2008,ECU,5,5,66808366776,14535740,3.92,65.999999,0
2008,GUY,5.5,6,3184413030,746815,11.05,0,0
2008,PRY,5,8,24581700568,6081296,4.42,0.99999964,0
2008,PER,5.5,9,134706000000,28562321,3.82,60,1
2008,SUR,6,8,4032182695,517122,8.56,1.99999998,0
2008,URY,7,10,35847289440,3340221,8.03,0,0
2008,VEN,4,5,412339000000,27635827,6.25,16.99999968,0
2008,KHM,2.5,2,10600425244,13883835,0.83,0,0
2008,CHN,1.5,-7,5029290000000,1324655000,4.6,88938.2175,1
2008,PRK,1,-9,53860175556,24310143,2.69,0,0
2008,IDN,5.5,8,679403000000,235469755,7.21,131.9999996,0
2008,LAO,1.5,-7,6109448405,6046630,0.85,5.999999993,0
2008,MYS,4,6,241039000000,27236003,3.34,6.999999966,0
2008,MNG,6,10,6846094436,2631899,5.57,52.0000004,0
2008,PHL,4.5,8,191359000000,90901967,3.72,323.9999974,1
2008,THA,3.5,4,319474000000,66530980,1.18,39.00000003,1
2008,TLS,4.5,7,732447776.5,1055428,3.11,0,0
2008,VNM,2,-7,103356000000,86243424,1.8,198.4999988,0
2008,AFG,2.5,4,11421973771,27722281,11.11,0,1
2008,ARM,3,5,10548246992,2907615,13.51,1.2218441310000001,0
2008,AZE,2.5,-7,46165839005,8763400,5.86,0,1
2008,BGD,4,-6,103951000000,144304164,4.29,68.00000002,0
2008,BTN,3.5,3,1295386119,671611,3.68,0,0
2008,GEO,4,6,11959954703,3848449,17.87,0,1
2008,IND,5.5,9,1431810000000,1200669762,5.36,1734.947159,1
2008,KAZ,2.5,-6,136339000000,15776938,6.63,6.010787804,0
2008,KGZ,3.5,3,4681938955,5318700,8.22,80.00000068,0
2008,MDV,4,4,2600891738,343448,9.71,0,0
2008,MMR,1,-8,42506544782,49929642,0.71,138366.4963,1
2008,NPL,4,6,14605251496,26666581,1.33,114.9999992,0
2008,PAK,3.5,5,169563000000,171648984,0.42,248.9999999,1
2008,LKA,4,6,50721102373,19983984,5.22,47.99999991,1
2008,TJK,2.5,-3,5098960779,7209924,11.43,0,0
2008,TKM,1,-9,19491562208,4935765,4.94,0.894653883,0
2008,UZB,1,-9,40151366329,27302800,4.89,0,0
2008,IRN,2,-6,455541000000,72120608,10.48,58.00000021,1
2008,IRQ,2,-7,125926000000,28385739,8.4,4.999999982,1
2008,JOR,3,-3,25251357245,6556473,12.7,0,0
2008,LBN,3.5,7,32299474785,4764745,7.45,0,0
2008,OMN,2.5,-8,52730900886,2750956,4.14,0,0
2008,SYR,1.5,-7,43630549585,20664037,10.94,0,0
2008,PSE,5.5,9,8428419115,3591977,22.91,0,0
2008,YEM,3,-2,27628287079,21892149,12.17,90.00000051,0
2008,COK,5,7,864017000000,145924795,11.11,1144.999974,0
2008,FJI,3,-4,3093253760,845356,3.91,7.000000001,0
2008,KIR,7,8,156321846.4,98760,7.21,0,0
2008,MHL,7,9,145737814.6,56166,8.12,0,0
2008,NRU,7,8,39240729.32,9880,6.77,12.00000018,0
2008,NIU,5,7,14372591916,9930916,2.02,0,0
2008,PLW,7,8,198632922.2,18708,8.14,0,0
2008,PNG,4.5,4,12116170365,6976200,2,10,0
2008,WSM,6,8,693336597.3,183270,5.18,0,0
2008,SLB,4.5,8,760184982,503366,1.85,0,0
2008,TKL,6,8,4160296612,281107,10.62,0,0
2008,TON,4,0,383874011.7,103384,1.31,0,0
2008,TUV,7,9,34234035.6,10315,7.47,7.999999938,0
2008,VUT,6,9,642838337.5,224700,4.31,0,0
2008,WLF,3.5,-6,60300321143,16081915,12.7,0,0
2009,ALB,6,10,11500613162,2927519,13.67,0,0
2009,BLR,1,-7,53082941364,9506765,6.1,5.418402902,0
2009,BIH,3,-4,17029363373,3735945,24.07,0,0
