recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
Albania,2008,239.73,18.6,6.6,113.76,1637.1,ALB,5,9,11127823666,2947314,13.06,0,0
Belarus,2008,69.91,0,4,32.15,1637.1,BLR,1.5,-7,52976989869,9527985,6.42,5.463254628,0
Bosnia and Herzegovina,2008,293.35,15.43,13.25,109.13,1637.1,BIH,4.5,8,17556851231,3754261,23.41,0,0
Croatia,2008,49.2,0,0.37,29.28,1637.1,HRV,6,9,65515772483,4309705,8.53,1.000000003,0
North Macedonia,2008,137.03,-0,7.24,83.54,1637.1,MKD,5,9,9139223354,2067309,33.76,0,0
Moldova,2008,115.48,24.05,13.23,71.08,1637.1,MDA,4,8,6928263863,2867964,3.98,2.999999998,0
Montenegro,2008,61.23,14.39,3.66,39.98,1637.1,MNE,5,8,4280841227,616969,17.15,0,0
Serbia,2008,519.56,39.56,21.71,255.15,1637.1,SRB,5,8,42681933020,7350222,13.71,0.999999994,0
Turkey,2008,572,-0,4.67,450.52,1637.1,TUR,5,7,752918000000,70418612,9.71,0,1
Ukraine,2008,296.16,0,21.35,231.94,1637.1,UKR,5.5,7,153670000000,46258189,6.36,37.99999998,0
Algeria,2008,208.98,0,-0,140,1637.1,DZA,2.5,2,153155000000,34730604,11.33,92.99999978,1
Egypt,2008,973.88,-0,424.97,847.02,1637.1,EGY,2.5,-3,198965000000,79636081,8.52,97.99999968,0
Libya,2008,48.5,0,1.26,46.73,1637.1,LBY,1,-7,71765417108,6058740,18.51,0,0
Morocco,2008,529.63,-0,356.37,331.27,1637.1,MAR,3.5,-6,86135221236,31536807,9.57,38.99999997,0
Tunisia,2008,213.6,-0,-0,187.38,1637.1,TUN,2,-4,41299756347,10414425,12.44,0,0
Angola,2008,206.62,20.95,-0,113.7,1637.1,AGO,2.5,-2,79581318823,21695636,3.63,7,0
Benin,2008,277.67,87.18,3.87,168.88,1637.1,BEN,6,7,9126270155,8696915,0.85,15.00000007,0
Botswana,2008,668.78,-0,-0,660.88,1637.1,BWA,6,8,12754003612,1915636,16.35,0,0
Burkina Faso,2008,421.26,166.96,6.73,229.66,1637.1,BFA,4,0,9054059809,14689725,3.62,6,0
Burundi,2008,229.92,61.18,0.07,110.94,1637.1,BDI,3.5,6,1862084400,8126104,1.63,9.000000043,1
Cabo Verde,2008,147.23,17.02,0.4,45.19,1637.1,CPV,7,10,1661358044,480846,10.31,0,0
Cameroon,2008,264.06,27.39,9.11,243.03,1637.1,CMR,2,-4,24758949260,19252674,3.31,9.00000001,0
Central African Republic,2008,123.32,13.74,0.25,87.36,1637.1,CAF,3,-1,1885822821,4273368,4.12,0,0
Chad,2008,266.19,-0,2.74,184.25,1637.1,TCD,1.5,-2,9014843655,11183589,1.32,0,1
Comoros,2008,17.35,0.06,5.03,16.23,1637.1,COM,4.5,9,847614597.4,657227,5.59,0,0
Congo,2008,320.48,17.65,0.15,316.65,1637.1,COG,2.5,-4,10703326376,4011487,16.52,0,0
C�te d'Ivoire,2008,199.24,181.36,2.51,172.92,1637.1,CIV,2.5,0,23647271500,19605568,5.88,5.999999997,0
Democratic Republic of the Congo,2008,907.42,271.44,4.01,538.96,1637.1,COD,2,5,19575662525,60411195,3.29,35.99999997,1
Djibouti,2008,58.46,7.54,20.01,56.58,1637.1,DJI,3,2,2345288465,816361,11.1,0,0
Equatorial Guinea,2008,15.07,-0,0.02,3.98,1637.1,GNQ,1,-5,17675587976,860839,8.06,0,0
Eritrea,2008,46.24,27.63,7.94,28.21,1637.1,ERI,1.5,-7,1497342774,3062782,6.44,0,0
Ethiopia,2008,1816.7,509.8,32.61,1481.48,1637.1,ETH,3,1,24444156129,82916236,2.24,45.00000088,1
Gabon,2008,31.52,0,0.62,31.48,1637.1,GAB,3,-4,13403585248,1518538,18.44,0,0
Gambia,2008,27.17,7.62,4.17,20.93,1637.1,GMB,3.5,-5,1366133637,1689288,9.05,0,0
Ghana,2008,650.84,254.69,5.02,435.54,1637.1,GHA,6.5,8,28461199739,23563832,4.79,0,0
Guinea,2008,194.24,31.12,0.3,178.01,1637.1,GIN,2,-1,6612974822,9738796,4.21,0,0
Guinea-Bissau,2008,45.54,15.71,0.05,13.72,1637.1,GNB,4,6,785939943.8,1446936,2.86,0,0
Kenya,2008,948.28,106.39,3.23,720.77,1637.1,KEN,4.5,7,35717358968,39791984,2.66,65.00000266,0
Lesotho,2008,59.87,18.78,-0,39.88,1637.1,LSO,5.5,8,2149925019,1987130,27.76,0,0
Liberia,2008,816.32,4.29,0.82,663.83,1637.1,LBR,4.5,6,1788340491,3607863,2.11,0,0
Madagascar,2008,259.02,201.3,3.43,213.68,1637.1,MDG,4.5,7,10332370458,19996476,3.34,104.9999997,0
Malawi,2008,395.77,48.96,3.73,292.37,1637.1,MWI,4,6,6011380928,13727899,5.65,0,0
Mali,2008,481.1,105.61,-0,288.48,1637.1,MLI,5.5,7,9684351571,14113578,10.23,0,1
Mauritania,2008,125.97,41.58,23.78,93.21,1637.1,MRT,2.5,-5,5479795126,3296237,9.51,0,0
Mauritius,2008,13.74,-0,-0,15.18,1637.1,MUS,6.5,10,9276625562,1244121,7.17,0,0
Mayotte,2008,396.19,0,0,396.19,1637.1,MYT,4,4,27819050421,9527985,6.4,5.445280189,0
Mozambique,2008,1220.06,261.13,-0,622.27,1637.1,MOZ,5,6,9807041557,22276596,2.95,31.50000013,0
Namibia,2008,153.98,0,-0,113.86,1637.1,NAM,6,6,10748473716,2043382,21.48,42.00000023,0
Niger,2008,247.86,57.86,6.37,167.75,1637.1,NER,4.5,6,7091729840,15250913,1.22,7.000000009,1
Nigeria,2008,653.48,310.9,1.44,544.24,1637.1,NGA,3.5,4,309769000000,150269622,3.59,0,0
Rwanda,2008,423.45,130.86,0.99,273.56,1637.1,RWA,2.5,-3,5367563908,9524532,0.88,35.99999993,0
Saint Helena,2008,46.14,0,0.01,46.14,1637.1,SHN,5.5,6,18067581907,7631003,3.6,37.99999998,0
Sao Tome and Principe,2008,23.12,8.23,0.03,10.12,1637.1,STP,6,7,179985584.3,171122,15.26,0,0
Senegal,2008,501.52,124.61,38.84,363.2,1637.1,SEN,5,8,15174956642,12004700,9.85,1,0
Seychelles,2008,4.36,0,0.15,4.31,1637.1,SYC,5,9,925654158.7,86956,7.16,0,0
Sierra Leone,2008,151.81,47.4,-0,125.95,1637.1,SLE,5,7,2371580994,6133599,3.67,0,0
Somalia,2008,554.62,0,12.5,419.87,1637.1,SOM,1,0,80264693647,11397188,12.94,0,1
South Africa,2008,868.6,0,1.82,715.72,1637.1,ZAF,6,9,369967000000,49779472,22.41,16.99999264,0
South Sudan,2008,0,0,0,0,1637.1,SSD,5.5,8,13177336585,8736932,12.15,17.00000005,0
Sudan,2008,1807.55,-0,129.14,1393.98,1637.1,SDN,1,-4,61441457716,33060844,14.8,0,1
Eswatini,2008,17.79,-0,-0,15.63,1637.1,SWZ,2,-9,4210638653,1049948,27.45,0,0
Tanzania,2008,1253.27,393.55,-0,685.35,1637.1,TZA,4.5,-1,28599598807,41853944,2.61,72.99999941,0
Togo,2008,148.99,44.41,1.18,128.82,1637.1,TGO,3,-4,3062704427,6083417,3.08,5.999999994,0
Uganda,2008,964.61,168.37,0.93,588.58,1637.1,UGA,3.5,-1,23540420945,30431734,2.92,48.9999995,1
Zambia,2008,666.62,54.61,-0,403.7,1637.1,ZMB,5,7,16822344541,12848531,7.93,9.000000029,0
Zimbabwe,2008,526.3,0,-0,388.06,1637.1,ZWE,1.5,-4,8982303319,12379553,4.67,12,0
Anguilla,2008,0.07,0,0,0.07,1637.1,AIA,4,7,194130000000,73762519,13.93,0,0
Antigua and Barbuda,2008,0.52,0,0.6,0.42,1637.1,ATG,6,6,1415794528,85394,10.62,0,0
Barbados,2008,1.16,0,0.01,1,1637.1,BRB,7,10,4884000000,279946,8.12,0,0
Belize,2008,4.46,0,0.58,4.06,1637.1,BLZ,6.5,10,1334118125,306822,8.18,8.000000283,0
Costa Rica,2008,53.71,-0,0.24,33.08,1637.1,CRI,7,10,36057631674,4463123,4.78,7.999999938,0
Cuba,2008,82.3,0,4.28,30.52,1637.1,CUB,1.5,-7,61927474920,11236975,1.58,10.00000029,0
Dominica,2008,0.6,0.39,-0,0.53,1637.1,DMA,7,9,496331523.2,70829,7.17,0,0
Dominican Republic,2008,89.94,-0,0,45.17,1637.1,DOM,6,8,49248221332,9458079,4.76,2.000000024,0
El Salvador,2008,188.34,-0,0.25,98,1637.1,SLV,5.5,7,18452523787,6131767,5.88,35.99999999,0
Grenada,2008,1.24,0.77,0.83,1.1,1637.1,GRD,6.5,10,829856141.3,105457,8.96,0,0
Guatemala,2008,412.87,0,0.3,131.12,1637.1,GTM,4.5,8,39348488187,13739299,3.08,62.00000106,0
Haiti,2008,560.58,22.36,0.2,483.15,1637.1,HTI,3.5,5,11403034357,9646570,16.06,697.9995734,0
Honduras,2008,334.85,47.73,0.08,195.77,1637.1,HND,5,7,15650167710,7980955,3.16,66.99999962,0
Jamaica,2008,-0,0,-0,-0,1637.1,JAM,5.5,9,14025498715,2781869,10.33,12.99999997,0
Mexico,2008,119.79,0,0.76,127.53,1637.1,MEX,5.5,8,1062460000000,110815272,3.87,48.03188916,0
Montserrat,2008,26.58,0,0,26.58,1637.1,MSR,6.5,10,27133804225,2750956,12.15,17.00000005,0
Nicaragua,2008,503.59,26.4,0.04,208.2,1637.1,NIC,4.5,9,8674353607,5667436,6.2,30.0000001,0
Panama,2008,27.16,0,0.19,21.16,1637.1,PAN,6.5,9,27477507118,3516204,3.48,32.99999923,0
Saint Kitts and Nevis,2008,28.44,-0,-0,28.43,1637.1,KNA,7,9,797096217.1,48178,8.52,0.999999992,0
Saint Lucia,2008,-0,0.99,-0,-0,1637.1,LCA,7,8,1505888983,170011,12.72,0,0
Saint Vincent and the Grenadines,2008,9.06,0.7,-0,8.83,1637.1,VCT,6.5,10,719975884,108401,18.79,0,0
Trinidad and Tobago,2008,3.43,0,0.1,3.3,1637.1,TTO,6,10,22430354184,1314449,4.22,2.000000734,0
Argentina,2008,77,0,0.02,49.46,1637.1,ARG,6,8,408877000000,40080159,7.84,11,0
Bolivia,2008,470.56,23.12,0.28,260.98,1637.1,BOL,5,8,18257962435,9721457,2.6,37.49999966,0
Brazil,2008,336.54,0,1.51,283.25,1637.1,BRA,6,8,2056810000000,192030362,7.34,352.0000245,0
Chile,2008,73.83,-0,1.12,35.38,1637.1,CHL,7,10,209752000000,16708255,9.29,10,0
Colombia,2008,953.79,-0,0.69,801.29,1637.1,COL,4.5,7,271147000000,44254972,11.27,147,1
Ecuador,2008,181.58,-0,0.28,71.19,1637.1,ECU,5,5,66808366776,14535740,3.92,65.999999,0
Guyana,2008,43.72,5.24,0.01,43.4,1637.1,GUY,5.5,6,3184413030,746815,11.05,0,0
Paraguay,2008,98.77,-0,0.06,71,1637.1,PRY,5,8,24581700568,6081296,4.42,0.99999964,0
